n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
172429;46.04735;6.48468;1000;1007;cris;Mont-Saxonnex;Haute-Savoie;Auvergne-Rhône-Alpes;France;9117;6011
172430;45.214466;5.781453;252;263;orvet;Meylan;Isère;Auvergne-Rhône-Alpes;France;7537;6913
172431;48.288612;6.95235;NA;351;Parc évêché St Dié 2;Saint-Dié-des-Vosges;Vosges;Grand Est;France;13695;2336
172433;45.1437;5.694458;214;233;osier;Échirolles;Isère;Auvergne-Rhône-Alpes;France;7394;6995
172434;45.93666;6.630556;546;555;outarde;Sallanches;Haute-Savoie;Auvergne-Rhône-Alpes;France;8975;6102
172435;45.51059;5.597881;500;518;pamplemousse;Les Abrets en Dauphiné;Isère;Auvergne-Rhône-Alpes;France;8107;6580
172436;43.06368;-0.45201;750;794;panais;Bilhères;Pyrénées-Atlantiques;Nouvelle-Aquitaine;France;3042;9421
172437;44.82474;6.54237;1121;1144;parisette;Les Vigneaux;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;6830;7322
172438;46.01825;6.169059;750;747;passiflore;Groisy;Haute-Savoie;Auvergne-Rhône-Alpes;France;9114;6008
172439;45.74636;7.382726;650;NA;pastel;Villair;Quart;Vallée d'Aoste;Italie;NA;NA
172440;44.35577;5.712976;685;670;pelican;Trescléoux;Hautes-Alpes;Provence-Alpes-Côte d'Azur;France;5821;7892
172441;42.513405;0.485973;904;NA;TERRITORIO 1º A. FRESNOS 3 Y 4.;Ribagorce;Huesca;Aragon;Espagne;NA;NA
172442;45.93537;6.624913;561;570;pensee;Sallanches;Haute-Savoie;Auvergne-Rhône-Alpes;France;8975;6102
172443;45.904015;6.361985;NA;728;Route du Fieugy;Les Villards-sur-Thônes;Haute-Savoie;Auvergne-Rhône-Alpes;France;8830;6186
172444;48.203712;5.837903;347;362;BUL;Bulgnéville;Vosges;Grand Est;France;13399;2575
172445;45.144;5.727181;217;228;persil;Échirolles;Isère;Auvergne-Rhône-Alpes;France;7394;6995
172446;42.51338;0.486166;904;NA;TERRITORIO 1ºB. FRESNOS 5 Y 6.;Ribagorce;Huesca;Aragon;Espagne;NA;NA
172447;45.7258;7.392204;880;NA;peuplier;Brissogne;Brissogne;Vallée d'Aoste;Italie;NA;NA
