n_taxon;regne;genre;espece;sous_espece;variete_cultivar_ou_provenance;clone_ou_accession
4338;Plantae;Doronicum;sp.;NA;NA;NA
4340;Plantae;Echinops;sphaerocephalus;NA;NA;NA
4342;Plantae;Echium;italicum;NA;NA;NA
4343;Plantae;Echium;vulgare;NA;NA;NA
7601;Plantae;Epilobium;angustifolium;NA;NA;NA
4346;Plantae;Epilobium;hirsutum;NA;NA;NA
4348;Plantae;Epipactis;palustris;NA;NA;NA
4350;Plantae;Eranthis;hyemalis;NA;NA;NA
7636;Plantae;Erigeron;canadensis;NA;NA;NA
4352;Plantae;Eriobotrya;japonica;NA;NA;NA
4354;Plantae;Erodium;cicutarium;NA;NA;NA
4356;Plantae;Erysimum;cheiri;NA;NA;NA
4358;Plantae;Euonymus;europaeus;NA;NA;NA
4360;Plantae;Eupatorium;cannabinum;NA;NA;NA
4362;Plantae;Euphorbia;amygdaloides;NA;NA;NA
4364;Plantae;Euphorbia;cyparissias;NA;NA;NA
4365;Plantae;Euphorbia;lathyris;NA;NA;NA
4367;Plantae;Fagopyrum;esculentum;NA;NA;NA
4372;Plantae;Festuca;glauca;NA;NA;NA
7590;Plantae;Ficaria;verna;NA;NA;NA
4374;Plantae;Filipendula;ulmaria;NA;NA;NA
4376;Plantae;Foeniculum;vulgare;NA;NA;NA
4381;Plantae;Fragaria;vesca;NA;NA;NA
7586;Plantae;Frangula;alnus;alnus;NA;NA
4391;Plantae;Fritillaria;imperialis;NA;NA;NA
4393;Plantae;Fumaria;muralis;NA;NA;NA
4394;Plantae;Fumaria;officinalis;NA;NA;NA
4396;Plantae;Galanthus;nivalis;NA;NA;NA
4398;Plantae;Galega;officinalis;NA;NA;NA
4400;Plantae;Galium;odoratum;NA;NA;NA
4401;Plantae;Galium;verum;NA;NA;NA
4406;Plantae;Geranium;ibericum;NA;NA;NA
4407;Plantae;Geranium;molle;NA;NA;NA
4408;Plantae;Geranium;pratense;NA;NA;NA
4409;Plantae;Geranium;robertianum;NA;NA;NA
4410;Plantae;Geranium;sanguineum;NA;NA;NA
4412;Plantae;Geum;urbanum;NA;NA;NA
4414;Plantae;Glebionis;segetum;NA;NA;NA
4416;Plantae;Glechoma;hederacea;NA;NA;NA
4421;Plantae;Gratiola;officinalis;NA;NA;NA
4427;Plantae;Helianthus;annuus;NA;NA;NA
4428;Plantae;Helianthus;tuberosus;NA;NA;NA
4430;Plantae;Heliotropium;europaeum;NA;NA;NA
4432;Plantae;Helleborus;foetidus;NA;NA;NA
4433;Plantae;Helleborus;niger;NA;NA;NA
4435;Plantae;Hemerocallis;fulva;NA;NA;NA
4436;Plantae;Hemerocallis;lilioasphodelus;NA;NA;NA
4438;Plantae;Hepatica;nobilis;NA;NA;NA
4443;Plantae;Heracleum;sphondylium;NA;NA;NA
4445;Plantae;Hesperis;matronalis;NA;NA;NA
4449;Plantae;Hieracium;maculatum;NA;NA;NA
4450;Plantae;Hieracium;murorum;NA;NA;NA
4454;Plantae;Hippocrepis;emerus;emerus;NA;NA
4456;Plantae;Hordeum;vulgare;NA;NA;NA
4458;Plantae;Humulus;lupulus;NA;NA;NA
4460;Plantae;Hyacinthoides;non-scripta;NA;NA;NA
4462;Plantae;Hyacinthus;orientalis;NA;NA;NA
4464;Plantae;Hydrangea;paniculata;NA;NA;NA
7656;Plantae;Hylotelephium;telephium;NA;NA;NA
4466;Plantae;Hyoscyamus;niger;NA;NA;NA
4468;Plantae;Hypericum;calycinum;NA;NA;NA
4469;Plantae;Hypericum;perforatum;NA;NA;NA
4471;Plantae;Hypochaeris;maculata;NA;NA;NA
4473;Plantae;Hyssopus;officinalis;NA;NA;NA
4475;Plantae;Iberis;sempervirens;NA;NA;NA
7589;Plantae;Inula;grandis;NA;NA;NA
4479;Plantae;Inula;helenium;NA;NA;NA
4482;Plantae;Ipomoea;purpurea;NA;NA;NA
4484;Plantae;Iris;aphylla;NA;NA;NA
4486;Plantae;Iris;germanica;NA;NA;NA
4488;Plantae;Iris;lutescens;lutescens;NA;NA
4489;Plantae;Iris;pseudacorus;NA;NA;NA
4490;Plantae;Iris;sibirica;NA;NA;NA
4491;Plantae;Iris;sp.;NA;NA;NA
4493;Plantae;Jasminum;nudiflorum;NA;NA;NA
4494;Plantae;Jasminum;officinale;NA;NA;NA
4503;Plantae;Kerria;japonica;NA;NA;NA
4505;Plantae;Knautia;arvensis;NA;NA;NA
4508;Plantae;Laburnum;anagyroides;NA;NA;NA
4511;Plantae;Lamium;album;NA;NA;NA
4512;Plantae;Lamium;purpureum;NA;NA;NA
7607;Plantae;Lapsana;communis;NA;NA;NA
4519;Plantae;Lathyrus;latifolius;NA;NA;NA
4520;Plantae;Lathyrus;niger;NA;NA;NA
4521;Plantae;Lathyrus;pratensis;NA;NA;NA
4522;Plantae;Lathyrus;tuberosus;NA;NA;NA
4525;Plantae;Lavandula;angustifolia;angustifolia;NA;NA
4527;Plantae;Legousia;speculum-veneris;NA;NA;NA
4529;Plantae;Lepidium;draba;NA;NA;NA
4531;Plantae;Leucanthemum;vulgare;NA;NA;NA
4533;Plantae;Ligustrum;vulgare;NA;NA;NA
7591;Plantae;Lilium;bulbiferum;NA;croceum;NA
4537;Plantae;Lilium;candidum;NA;NA;NA
4538;Plantae;Lilium;pyrenaicum;NA;NA;NA
4540;Plantae;Linaria;vulgaris;NA;NA;NA
7615;Plantae;Linum;usitatissimum;angustifolium;NA;NA
4544;Plantae;Liriodendron;tulipifera;NA;NA;NA
4547;Plantae;Lithospermum;officinale;NA;NA;NA
4549;Plantae;Lolium;perenne;NA;NA;NA
7611;Plantae;Loncomelos;pyrenaicus;NA;NA;NA
4556;Plantae;Lotus;corniculatus;NA;NA;NA
4558;Plantae;Lunaria;annua;NA;NA;NA
4560;Plantae;Lupinus;polyphyllus;NA;NA;NA
4562;Plantae;Luzula;sylvatica;NA;NA;NA
7481;Plantae;Lychnis;chalcedonica;NA;NA;NA
7626;Plantae;Lychnis;flos-cuculi;flos-cuculi;NA;NA
7628;Plantae;Lycopsis;arvensis;NA;NA;NA
4564;Plantae;Lysimachia;nummularia;NA;NA;NA
4565;Plantae;Lysimachia;vulgaris;NA;NA;NA
4567;Plantae;Lythrum;salicaria;NA;NA;NA
7654;Plantae;Malus;domestica;NA;reinette grise du canada;NA
4582;Plantae;Malva;moschata;NA;NA;NA
4584;Plantae;Medicago;sativa;NA;NA;NA
4587;Plantae;Melampyrum;cristatum;NA;NA;NA
4588;Plantae;Melampyrum;pratense;NA;NA;NA
4590;Plantae;Melilotus;officinalis;NA;NA;NA
4592;Plantae;Melissa;officinalis;NA;NA;NA
4594;Plantae;Melittis;melissophyllum;NA;NA;NA
4596;Plantae;Mentha;aquatica;NA;NA;NA
4597;Plantae;Mentha;spicata;NA;NA;NA
4599;Plantae;Mentha;suaveolens;suaveolens;NA;NA
7588;Plantae;Mentha;x villosa;NA;villosa;NA
4603;Plantae;Mertensia;virginica;NA;NA;NA
4608;Plantae;Miscanthus;sinensis;NA;NA;NA
4610;Plantae;Muscari;comosum;NA;NA;NA
4611;Plantae;Muscari;neglectum;NA;NA;NA
4613;Plantae;Myosotis;scorpioides;NA;NA;NA
4621;Plantae;Nepeta;cataria;NA;NA;NA
4623;Plantae;Nuphar;lutea;NA;NA;NA
4625;Plantae;Nymphaea;alba;NA;NA;NA
4627;Plantae;Oenanthe;aquatica;NA;NA;NA
4629;Plantae;Oenothera;biennis;NA;NA;NA
