n_du_site;latitude_du_site;longitude_du_site;altitude_du_site;altitude_du_site_ign;nom_du_site;commune;departement;region;pays;numero_de_maille_drias;numero_de_maille_safran
5940;44.17;4.43;127;249;verfeuil;Verfeuil;Gard;Occitanie;France;5379;8138
5941;43.97;4.52;56;59;vers-pont-du-gard;Vers-Pont-du-Gard;Gard;Occitanie;France;4951;8413
5942;49.15;4.15;187;277;verzenay;Verzy;Marne;Grand Est;France;15242;1089
5943;48.13;4.17;161;155;verzy;Rumilly-lès-Vaudes;Aube;Grand Est;France;13241;2690
5944;47.62;6.15;227;219;vesoul;Vesoul;Haute-Saône;Bourgogne-Franche-Comté;France;12258;3603
5945;46.45;6.83;382;NA;vevey;Le Léman (VD);Le Léman (VD);Vaud;Suisse;NA;NA
5946;46.42;6.92;430;NA;veytaux;Territet;District de la Riviera-Pays-d’Enhaut;Vaud;Suisse;NA;NA
5947;43.31;3.41;12;3;vias;Vias;Hérault;Occitanie;France;3510;9272
5948;49.2;3.93;188;224;ville-dommange;Ville-Dommange;Marne;Grand Est;France;15240;1087
5949;48.78;2.35;104;95;villejuif;L'Haÿ-les-Roses;Val-de-Marne;Île-de-France;France;14368;1680
5950;46.38;6.92;376;377;villeneuve;Rennaz;District d'Aigle;Vaud;Suisse;NA;NA
5951;43.28;2.08;159;130;villepinte;Villepinte;Aude;Occitanie;France;3497;9259
5952;48.3;6.17;314;318;villers;Villers;Vosges;Grand Est;France;13688;2329
5953;47.0;5.75;236;231;villers-farlay;Villers-Farlay;Jura;Bourgogne-Franche-Comté;France;10968;4669
5954;44.05;5.23;308;284;villes sur auzon (ville/auzo);Villes-sur-Auzon;Vaucluse;Provence-Alpes-Côte d'Azur;France;5102;8329
5955;43.78;4.08;86;29;villevieille;Sommières;Gard;Occitanie;France;4518;8681
5956;49.01;3.9;99;106;vinay;Vinay;Marne;Grand Est;France;14954;1266
5957;44.3;4.95;190;176;visan 1;Tulette;Drôme;Auvergne-Rhône-Alpes;France;5671;7968
5958;44.3;4.95;190;176;visan 2;Tulette;Drôme;Auvergne-Rhône-Alpes;France;5671;7968
5959;47.0;4.77;311;370;volnay;Monthelie;Côte-d'Or;Bourgogne-Franche-Comté;France;10959;4660
5960;47.06;6.22;349;386;vuillafans;Vuillafans;Doubs;Bourgogne-Franche-Comté;France;11115;4556
5961;45.7;5.75;232;263;yenne;Yenne;Savoie;Auvergne-Rhône-Alpes;France;8395;6422
5963;50.28;3.98;143;143;remparts maubeuge;Maubeuge;Nord;Hauts-de-France;France;17385;217
5964;50.28;4.0;127;123;sambre aval maubeuge;Rousies;Nord;Hauts-de-France;France;17385;217
5966;43.6;3.87;35;37;montpellier - jardin des plantes;Montpellier;Hérault;Occitanie;France;4230;8857
5967;48.45;6.2;250;297;arboretum d'amance;Vaudeville;Meurthe-et-Moselle;Grand Est;France;13974;2085
5969;46.23;4.29;400;351;arboretum de pézanin;Chassigny-sous-Dun;Saône-et-Loire;Bourgogne-Franche-Comté;France;9381;5809
5971;41.65;-4.72;701;NA;valladolid;Valladolid;Valladolid;Castille-et-León;Espagne;NA;NA
7440;43.9493;4.80555;26;21;evéché, avignon;Avignon;Vaucluse;Provence-Alpes-Côte d'Azur;France;4954;8416
7454;43.9493;4.80555;26;21;laval;Avignon;Vaucluse;Provence-Alpes-Côte d'Azur;France;4954;8416
24233;49.67;6.13;236;0;grand-duché;Inconnu;Inconnu;Inconnu;Inconnu;NA;NA
462042;45.151;-0.822;9;8;medoc - b3;Saint-Laurent-Médoc;Gironde;Nouvelle-Aquitaine;France;7329;6930
462043;48.0794;7.358;194;193;ddaf 3;Colmar;Haut-Rhin;Grand Est;France;13270;2719
462044;43.5298;5.4478;201;195;baume;Aix-en-Provence;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;France;4103;8962
462045;48.0794;7.358;194;193;ddaf 6;Colmar;Haut-Rhin;Grand Est;France;13270;2719
462046;44.8385;-0.579203;14;9;bordelais - b1;Bordeaux;Gironde;Nouvelle-Aquitaine;France;6617;7335
462047;48.0794;7.358;194;193;ddaf 2;Colmar;Haut-Rhin;Grand Est;France;13270;2719
462048;49.0436;3.95863;82;77;champagne 1;Épernay;Marne;Grand Est;France;14954;1266
